,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
220,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-7.031097889,84818,32013
221,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-7.031097889,307717,32014
222,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-7.031097889,547944,32015
223,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-7.031097889,346113,32016
224,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-7.011248589,484376,32017
225,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-7.011248589,92114,32018
226,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-7.011248589,79710,32019
227,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-7.011248589,34930,32020
228,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-7.011248589,264760,32021
229,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-7.011248589,458566,32022
230,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-7.011248589,121025,32023
231,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-6.991397858,617714,32024
232,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.991397858,56727,32025
233,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.991397858,529795,32026
234,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.991397858,728890,32027
235,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.991397858,217700,32028
236,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.991397858,228644,32029
237,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-6.991397858,218703,32030
238,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-6.991397858,168907,32031
239,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-6.97154665,40767,32032
240,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-6.97154665,2553,32033
241,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.97154665,324954,32034
242,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.97154665,290023,32035
243,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.97154665,1006145,32036
244,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.97154665,379128,32037
245,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.97154665,389434,32038
246,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-6.97154665,16507,32039
247,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-6.951694489,694142,32040
248,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.951694489,22800,32041
249,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.951694489,23256,32042
250,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-6.951694489,86368,32043
251,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.951694489,5198,32044
252,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.951694489,109443,32045
253,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.951694489,799481,32046
254,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.951694489,816991,32047
255,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.951694489,162158,32048
256,125,Pitt Bank N,Southern Banks,Chagos,71.31999969482422,-6.951694489,42044,32049
257,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-6.931841373,593181,32050
258,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.931841373,248435,32051
259,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.931841373,321215,32052
260,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-6.931841373,178756,32053
261,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.931841373,104062,32054
262,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.931841373,1057675,32055
263,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.931841373,924702,32056
264,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.931841373,414332,32057
265,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-6.931841373,270962,32058
266,125,Pitt Bank N,Southern Banks,Chagos,71.08000183105469,-6.911987782,345110,32059
267,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-6.911987782,1823046,32060
268,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.911987782,354412,32061
269,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.911987782,231745,32062
270,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.911987782,346295,32063
271,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.911987782,545573,32064
272,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.911987782,60284,32065
273,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-6.911987782,242963,32066
274,125,Pitt Bank N,Southern Banks,Chagos,71.08000183105469,-6.892133236,410320,32067
275,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-6.892133236,1715883,32068
276,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.892133236,248618,32069
277,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.892133236,274884,32070
278,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-6.892133236,169545,32071
279,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.892133236,313280,32072
280,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.892133236,2280,32073
281,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.892133236,145650,32074
282,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-6.892133236,226455,32075
283,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-6.872277737,682650,32076
284,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.872277737,659758,32077
285,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.872277737,3830,32078
